 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,
      68,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,      64,      80,      80,      80,      80,  596.26,596256.66,460315.90,566006.66, 7100.00,23150.00,566006.66,3200.00,800.00, 32.50,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.83,    3.23,    0.00,       1,
      69,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,      64,      80,      80,      80,      80,  749.83,749826.65,460315.90,718076.65, 8600.00,23150.00,718076.65,3200.00,800.00, 32.50,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.03,    0.83,    3.23,    0.80,       1,
      70,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      80,      80,      80,      80,  265.02,265020.00,117361.20,243936.66, 8600.00,12483.33,243936.66,800.00,800.00,  8.50,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.01,    0.81,    0.81,    0.80,       1,
      71,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      80,      80,      80,      80, 1045.36,1045357.36,1017874.02,1017874.02, 8600.00,18883.33,237376.66,800.00,800.00, 72.50,       DDR,        L2,        L2,       DDR,       DDR,      MSMC,    0.07,    0.87,    0.87,    0.80,       1,
      72,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     128,     128,      80,      80,      80,      80,  403.30,403299.99,58960.00,383883.33,12500.00, 6916.67,383883.33,1600.00,1600.00,  0.00,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    1.60,    1.60,    0.00,    1.60,       2,
      73,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      80,      80,      80,      80,  547.66,547659.99,455259.22,516976.66, 8600.00,22083.33,516976.66,1600.00,1600.00, 33.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.03,    1.63,    1.63,    1.60,       1,
      74,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      80,      80,      80,      80,  547.66,547659.99,455259.22,516976.66, 8600.00,22083.33,516976.66,1600.00,1600.00, 33.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.03,    1.63,    1.63,    1.60,       1,
      75,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      80,      80,      80,      80, 4114.39,4114386.88,4051070.22,4051070.22, 7100.00,56216.66,237320.00,1600.00,1600.00,289.00,       DDR,        L2,       DDR,       DDR,       DDR,      MSMC,    0.29,    1.89,    1.89,    1.60,       1,
      76,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      80,      80,      80,      80, 4114.39,4114386.88,4051070.22,4051070.22, 7100.00,56216.66,237320.00,1600.00,1600.00,289.00,       DDR,        L2,       DDR,       DDR,       DDR,      MSMC,    0.29,    1.89,    1.89,    1.60,       1,
      77,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,       6,      80,      80,      80,      80,  273.23,273233.33,58484.80,250150.00, 7100.00,15983.33,250150.00,1600.00, 75.00,  1.62,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.08,    1.60,    0.00,       1,
      78,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      80,      80,      80,      80, 4114.39,4114386.88,4051070.22,4051070.22, 7100.00,56216.66,237320.00,1600.00,1600.00,289.00,       DDR,        L2,       DDR,       DDR,       DDR,      MSMC,    0.29,    1.89,    1.89,    1.60,       1,
      79,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      80,      80,      80,      80, 4114.39,4114386.88,4051070.22,4051070.22, 7100.00,56216.66,237320.00,1600.00,1600.00,289.00,       DDR,        L2,       DDR,       DDR,       DDR,      MSMC,    0.29,    1.89,    1.89,    1.60,       1,
      80,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,       4,      80,      80,      80,      80,  273.13,273133.33,58484.80,250150.00, 7100.00,15883.33,250150.00,1600.00, 50.00,  1.12,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.05,    1.60,    0.00,       1,
      81,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,       1,      80,      80,      80,      80,  272.98,272983.33,58484.80,250150.00, 7100.00,15733.33,250150.00,1600.00, 12.50,  0.38,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.01,    1.60,    0.00,       1,
      82,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      11,      11,      80,      80,      80,      80,   47.67,47666.67, 5747.50,29083.33,18000.00,  583.33,29083.33,137.50,137.50,  0.00,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.14,    0.14,    0.00,    0.14,       2,
      83,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,     128,     128,      80,      80,      40,      40,25974.99,25974985.17,25958568.50,25958568.50, 5500.00,10916.67,227683.33,1600.00,400.25,289.00,       DDR,        L2,      NONE,      MSMC,       DDR,       DDR,    0.29,    0.69,    1.89,    0.00,       1,
      84,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     256,     256,      40,      40,      40,      40,  203.97,203966.66,28820.00,188550.00,12500.00, 2916.67,188550.00,840.00,800.00,  0.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    0.80,    0.84,    0.80,       2,
      85,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     128,      40,      40,      40,      40,  273.72,273724.14,236640.80,236640.80, 8600.00,28483.33,203216.66,800.00,400.00, 65.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.07,    0.47,    0.86,    0.40,       1,
      86,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     128,      40,      40,      40,      40,  272.22,272224.14,236640.80,236640.80, 7100.00,28483.33,128470.00,800.00,400.00, 65.00,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.07,    0.47,    0.86,    0.00,       1,
      87,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40,  140.06,140062.67,122826.00,122826.00, 7100.00,10136.67, 9667.33,400.00,400.00, 33.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.43,    0.43,    0.03,    0.00,       1,
      88,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40, 1269.35,1269350.53,1217980.53,1217980.53, 7100.00,44270.00, 9917.33,400.00,400.00,289.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.69,    0.69,    0.29,    0.00,       1,
      89,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     256,     256,      40,      40,      40,      40,  203.97,203966.66,28820.00,188550.00,12500.00, 2916.67,188550.00,800.00,800.00,  0.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    0.80,    0.80,    0.80,       2,
      90,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     256,      40,      40,      40,      40,  518.59,518590.00,472340.00,472340.00, 7100.00,39150.00,128470.00,800.00,800.00,130.00,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.13,    0.93,    0.93,    0.00,       1,
